farm,trap_count,year,date,tempf,dwpf,drct,feel,regression_count,poisson_count,NB_count,poisson_count_farm,NB_count_farm
Hollis-B,9,2006,2006-07-24,76.52320512820509,66.14666666666672,71.21794871794872,77.9455128205128,2,2,2,2,2
Hollis-K,0,2006,2006-07-24,76.52320512820509,66.14666666666672,71.21794871794872,77.9455128205128,2,2,2,0,1
Milford-S,2,2006,2006-07-24,76.52320512820509,66.14666666666672,71.21794871794872,77.9455128205128,2,2,2,6,6
Antrim-T,0,2006,2006-07-24,76.52320512820509,66.14666666666672,71.21794871794872,77.9455128205128,2,2,2,0,0
Mason-B,0,2006,2006-07-24,76.52320512820509,66.14666666666672,71.21794871794872,77.9455128205128,2,2,2,2,2
Peterborough-R,1,2006,2006-07-24,76.52320512820509,66.14666666666672,71.21794871794872,77.9455128205128,2,2,2,0,0
Plainfield-E,0,2006,2006-07-24,76.52320512820509,66.14666666666672,71.21794871794872,77.9455128205128,2,2,2,0,0
NorthHaverhill-B,0,2006,2006-07-24,76.52320512820509,66.14666666666672,71.21794871794872,77.9455128205128,2,2,2,0,0
Pelham-G,1,2006,2006-07-31,73.57790575916236,64.51193717277482,111.46596858638743,75.21031413612576,2,2,2,0,0
Litchfield-W,14,2006,2006-07-31,73.57790575916236,64.51193717277482,111.46596858638743,75.21031413612576,2,2,2,11,8
Litchfield-M,5,2006,2006-07-31,73.57790575916236,64.51193717277482,111.46596858638743,75.21031413612576,2,2,2,1,1
Merrimack-T,0,2006,2006-07-31,73.57790575916236,64.51193717277482,111.46596858638743,75.21031413612576,2,2,2,0,0
Hollis-L,1,2006,2006-07-31,73.57790575916236,64.51193717277482,111.46596858638743,75.21031413612576,2,2,2,1,1
Milford-L,7,2006,2006-07-31,73.57790575916236,64.51193717277482,111.46596858638743,75.21031413612576,2,2,2,5,5
Hollis-B,16,2006,2006-07-31,73.57790575916236,64.51193717277482,111.46596858638743,75.21031413612576,2,2,2,5,5
Hollis-K,7,2006,2006-07-31,73.57790575916236,64.51193717277482,111.46596858638743,75.21031413612576,2,2,2,1,1
Milford-S,1,2006,2006-07-31,73.57790575916236,64.51193717277482,111.46596858638743,75.21031413612576,2,2,2,3,4
Antrim-T,0,2006,2006-07-31,73.57790575916236,64.51193717277482,111.46596858638743,75.21031413612576,2,2,2,1,1
Mason-B,2,2006,2006-07-31,73.57790575916236,64.51193717277482,111.46596858638743,75.21031413612576,2,2,2,2,2
Peterborough-R,0,2006,2006-07-31,73.57790575916236,64.51193717277482,111.46596858638743,75.21031413612576,2,2,2,0,0
NorthHaverhill-B,0,2006,2006-07-31,73.57790575916236,64.51193717277482,111.46596858638743,75.21031413612576,2,2,2,0,0
Pelham-G,2,2006,2006-08-07,68.12641975308635,54.40308641975307,185.80246913580248,68.20697530864193,3,4,4,2,3
Litchfield-W,41,2006,2006-08-07,68.12641975308635,54.40308641975307,185.80246913580248,68.20697530864193,3,4,4,26,50
Litchfield-M,5,2006,2006-08-07,68.12641975308635,54.40308641975307,185.80246913580248,68.20697530864193,3,4,4,4,4
Merrimack-T,0,2006,2006-08-07,68.12641975308635,54.40308641975307,185.80246913580248,68.20697530864193,3,4,4,0,0
Hollis-L,3,2006,2006-08-07,68.12641975308635,54.40308641975307,185.80246913580248,68.20697530864193,3,4,4,5,5
Milford-L,8,2006,2006-08-07,68.12641975308635,54.40308641975307,185.80246913580248,68.20697530864193,3,4,4,13,15
Hollis-B,7,2006,2006-08-07,68.12641975308635,54.40308641975307,185.80246913580248,68.20697530864193,3,4,4,5,5
Hollis-K,5,2006,2006-08-07,68.12641975308635,54.40308641975307,185.80246913580248,68.20697530864193,3,4,4,5,4
Milford-S,5,2006,2006-08-07,68.12641975308635,54.40308641975307,185.80246913580248,68.20697530864193,3,4,4,4,4
Antrim-T,0,2006,2006-08-07,68.12641975308635,54.40308641975307,185.80246913580248,68.20697530864193,3,4,4,1,1
Mason-B,1,2006,2006-08-07,68.12641975308635,54.40308641975307,185.80246913580248,68.20697530864193,3,4,4,1,1
Peterborough-R,0,2006,2006-08-07,68.12641975308635,54.40308641975307,185.80246913580248,68.20697530864193,3,4,4,0,0
Plainfield-E,0,2006,2006-08-07,68.12641975308635,54.40308641975307,185.80246913580248,68.20697530864193,3,4,4,0,0
NorthHaverhill-B,0,2006,2006-08-07,68.12641975308635,54.40308641975307,185.80246913580248,68.20697530864193,3,4,4,0,0
Pelham-G,0,2006,2006-08-21,61.42423236514528,55.16157676348549,131.41078838174275,61.338879668049785,2,1,1,0,0
Litchfield-W,22,2006,2006-08-21,61.42423236514528,55.16157676348549,131.41078838174275,61.338879668049785,2,1,1,8,10
Litchfield-M,4,2006,2006-08-21,61.42423236514528,55.16157676348549,131.41078838174275,61.338879668049785,2,1,1,1,1
Merrimack-T,0,2006,2006-08-21,61.42423236514528,55.16157676348549,131.41078838174275,61.338879668049785,2,1,1,0,1
Hollis-L,5,2006,2006-08-21,61.42423236514528,55.16157676348549,131.41078838174275,61.338879668049785,2,1,1,2,2
Milford-L,3,2006,2006-08-21,61.42423236514528,55.16157676348549,131.41078838174275,61.338879668049785,2,1,1,4,4
Hollis-B,1,2006,2006-08-21,61.42423236514528,55.16157676348549,131.41078838174275,61.338879668049785,2,1,1,2,2
Hollis-K,2,2006,2006-08-21,61.42423236514528,55.16157676348549,131.41078838174275,61.338879668049785,2,1,1,1,1
Milford-S,7,2006,2006-08-21,61.42423236514528,55.16157676348549,131.41078838174275,61.338879668049785,2,1,1,2,2
Antrim-T,2,2006,2006-08-21,61.42423236514528,55.16157676348549,131.41078838174275,61.338879668049785,2,1,1,1,1
Mason-B,2,2006,2006-08-21,61.42423236514528,55.16157676348549,131.41078838174275,61.338879668049785,2,1,1,1,1
Jaffrey-C,1,2006,2006-08-21,61.42423236514528,55.16157676348549,131.41078838174275,61.338879668049785,2,1,1,1,1
Plainfield-E,4,2006,2006-08-21,61.42423236514528,55.16157676348549,131.41078838174275,61.338879668049785,2,1,1,0,0
NorthHaverhill-B,0,2006,2006-08-21,61.42423236514528,55.16157676348549,131.41078838174275,61.338879668049785,2,1,1,0,0
Pelham-G,0,2006,2006-08-28,60.727258064516086,55.38604838709666,96.49193548387096,60.69645161290319,1,1,1,0,0
Litchfield-W,13,2006,2006-08-28,60.727258064516086,55.38604838709666,96.49193548387096,60.69645161290319,1,1,1,9,9
Litchfield-M,2,2006,2006-08-28,60.727258064516086,55.38604838709666,96.49193548387096,60.69645161290319,1,1,1,1,1
Merrimack-T,1,2006,2006-08-28,60.727258064516086,55.38604838709666,96.49193548387096,60.69645161290319,1,1,1,0,0
Hollis-L,5,2006,2006-08-28,60.727258064516086,55.38604838709666,96.49193548387096,60.69645161290319,1,1,1,1,1
Milford-L,5,2006,2006-08-28,60.727258064516086,55.38604838709666,96.49193548387096,60.69645161290319,1,1,1,3,2
Hollis-B,6,2006,2006-08-28,60.727258064516086,55.38604838709666,96.49193548387096,60.69645161290319,1,1,1,1,1
Hollis-K,2,2006,2006-08-28,60.727258064516086,55.38604838709666,96.49193548387096,60.69645161290319,1,1,1,0,0
Milford-S,5,2006,2006-08-28,60.727258064516086,55.38604838709666,96.49193548387096,60.69645161290319,1,1,1,2,2
Antrim-T,4,2006,2006-08-28,60.727258064516086,55.38604838709666,96.49193548387096,60.69645161290319,1,1,1,0,0
Mason-B,1,2006,2006-08-28,60.727258064516086,55.38604838709666,96.49193548387096,60.69645161290319,1,1,1,1,1
Jaffrey-C,0,2006,2006-08-28,60.727258064516086,55.38604838709666,96.49193548387096,60.69645161290319,1,1,1,0,0
Plainfield-E,4,2006,2006-08-28,60.727258064516086,55.38604838709666,96.49193548387096,60.69645161290319,1,1,1,0,0
Pelham-G,0,2006,2006-09-11,60.50769841269843,54.48841269841269,120.11904761904762,60.23678571428574,2,1,1,0,0
Litchfield-W,14,2006,2006-09-11,60.50769841269843,54.48841269841269,120.11904761904762,60.23678571428574,2,1,1,9,10
Litchfield-M,1,2006,2006-09-11,60.50769841269843,54.48841269841269,120.11904761904762,60.23678571428574,2,1,1,1,1
Merrimack-T,0,2006,2006-09-11,60.50769841269843,54.48841269841269,120.11904761904762,60.23678571428574,2,1,1,0,0
Hollis-L,3,2006,2006-09-11,60.50769841269843,54.48841269841269,120.11904761904762,60.23678571428574,2,1,1,2,2
Milford-L,6,2006,2006-09-11,60.50769841269843,54.48841269841269,120.11904761904762,60.23678571428574,2,1,1,3,3
Hollis-B,0,2006,2006-09-11,60.50769841269843,54.48841269841269,120.11904761904762,60.23678571428574,2,1,1,1,1
Hollis-K,1,2006,2006-09-11,60.50769841269843,54.48841269841269,120.11904761904762,60.23678571428574,2,1,1,1,1
Milford-S,4,2006,2006-09-11,60.50769841269843,54.48841269841269,120.11904761904762,60.23678571428574,2,1,1,2,2
Antrim-T,0,2006,2006-09-11,60.50769841269843,54.48841269841269,120.11904761904762,60.23678571428574,2,1,1,0,0
Mason-B,0,2006,2006-09-11,60.50769841269843,54.48841269841269,120.11904761904762,60.23678571428574,2,1,1,1,1
Jaffrey-C,0,2006,2006-09-11,60.50769841269843,54.48841269841269,120.11904761904762,60.23678571428574,2,1,1,1,1
Pelham-G,0,2006,2006-09-18,63.16181102362205,56.833464566929116,83.11023622047244,62.88153543307087,2,1,1,0,0
Litchfield-W,11,2006,2006-09-18,63.16181102362205,56.833464566929116,83.11023622047244,62.88153543307087,2,1,1,11,9
Litchfield-M,3,2006,2006-09-18,63.16181102362205,56.833464566929116,83.11023622047244,62.88153543307087,2,1,1,1,1
Merrimack-T,0,2006,2006-09-18,63.16181102362205,56.833464566929116,83.11023622047244,62.88153543307087,2,1,1,0,0
Hollis-L,0,2006,2006-09-18,63.16181102362205,56.833464566929116,83.11023622047244,62.88153543307087,2,1,1,1,1
Milford-L,0,2006,2006-09-18,63.16181102362205,56.833464566929116,83.11023622047244,62.88153543307087,2,1,1,2,2
Hollis-B,0,2006,2006-09-18,63.16181102362205,56.833464566929116,83.11023622047244,62.88153543307087,2,1,1,1,1
Hollis-K,0,2006,2006-09-18,63.16181102362205,56.833464566929116,83.11023622047244,62.88153543307087,2,1,1,0,0
Milford-S,1,2006,2006-09-18,63.16181102362205,56.833464566929116,83.11023622047244,62.88153543307087,2,1,1,3,3
Antrim-T,0,2006,2006-09-18,63.16181102362205,56.833464566929116,83.11023622047244,62.88153543307087,2,1,1,0,0
Mason-B,0,2006,2006-09-18,63.16181102362205,56.833464566929116,83.11023622047244,62.88153543307087,2,1,1,1,1
Jaffrey-C,0,2006,2006-09-18,63.16181102362205,56.833464566929116,83.11023622047244,62.88153543307087,2,1,1,0,0
Pelham-G,0,2006,2006-09-25,54.94718446601942,48.39378640776697,98.25242718446601,54.64970873786407,2,2,2,0,0
Litchfield-W,36,2006,2006-09-25,54.94718446601942,48.39378640776697,98.25242718446601,54.64970873786407,2,2,2,18,30
Litchfield-M,9,2006,2006-09-25,54.94718446601942,48.39378640776697,98.25242718446601,54.64970873786407,2,2,2,2,2
Merrimack-T,0,2006,2006-09-25,54.94718446601942,48.39378640776697,98.25242718446601,54.64970873786407,2,2,2,0,0
Hollis-L,1,2006,2006-09-25,54.94718446601942,48.39378640776697,98.25242718446601,54.64970873786407,2,2,2,1,1
Milford-L,3,2006,2006-09-25,54.94718446601942,48.39378640776697,98.25242718446601,54.64970873786407,2,2,2,3,3
Hollis-B,1,2006,2006-09-25,54.94718446601942,48.39378640776697,98.25242718446601,54.64970873786407,2,2,2,2,2
Hollis-K,0,2006,2006-09-25,54.94718446601942,48.39378640776697,98.25242718446601,54.64970873786407,2,2,2,1,1
Milford-S,3,2006,2006-09-25,54.94718446601942,48.39378640776697,98.25242718446601,54.64970873786407,2,2,2,3,3
Antrim-T,0,2006,2006-09-25,54.94718446601942,48.39378640776697,98.25242718446601,54.64970873786407,2,2,2,0,0
Mason-B,0,2006,2006-09-25,54.94718446601942,48.39378640776697,98.25242718446601,54.64970873786407,2,2,2,1,1
Jaffrey-C,0,2006,2006-09-25,54.94718446601942,48.39378640776697,98.25242718446601,54.64970873786407,2,2,2,0,0
Pelham-G,0,2006,2006-10-02,54.387087378640764,46.26611650485437,161.84466019417476,53.45169902912618,2,2,2,1,1
Litchfield-W,3,2006,2006-10-02,54.387087378640764,46.26611650485437,161.84466019417476,53.45169902912618,2,2,2,16,39
Litchfield-M,0,2006,2006-10-02,54.387087378640764,46.26611650485437,161.84466019417476,53.45169902912618,2,2,2,2,2
Merrimack-T,0,2006,2006-10-02,54.387087378640764,46.26611650485437,161.84466019417476,53.45169902912618,2,2,2,0,3
Hollis-L,0,2006,2006-10-02,54.387087378640764,46.26611650485437,161.84466019417476,53.45169902912618,2,2,2,4,4
Milford-L,3,2006,2006-10-02,54.387087378640764,46.26611650485437,161.84466019417476,53.45169902912618,2,2,2,6,6
Hollis-B,1,2006,2006-10-02,54.387087378640764,46.26611650485437,161.84466019417476,53.45169902912618,2,2,2,2,2
Hollis-K,2,2006,2006-10-02,54.387087378640764,46.26611650485437,161.84466019417476,53.45169902912618,2,2,2,2,2
Milford-S,0,2006,2006-10-02,54.387087378640764,46.26611650485437,161.84466019417476,53.45169902912618,2,2,2,2,2
Antrim-T,0,2006,2006-10-02,54.387087378640764,46.26611650485437,161.84466019417476,53.45169902912618,2,2,2,0,0
Mason-B,0,2006,2006-10-02,54.387087378640764,46.26611650485437,161.84466019417476,53.45169902912618,2,2,2,1,1
Jaffrey-C,3,2006,2006-10-02,54.387087378640764,46.26611650485437,161.84466019417476,53.45169902912618,2,2,2,2,2
Pelham-G,3,2006,2006-10-09,54.01310679611644,43.626407766990354,106.2621359223301,53.43810679611641,3,3,3,0,0
Litchfield-W,3,2006,2006-10-09,54.01310679611644,43.626407766990354,106.2621359223301,53.43810679611641,3,3,3,52,125
Litchfield-M,1,2006,2006-10-09,54.01310679611644,43.626407766990354,106.2621359223301,53.43810679611641,3,3,3,6,6
Merrimack-T,0,2006,2006-10-09,54.01310679611644,43.626407766990354,106.2621359223301,53.43810679611641,3,3,3,0,0
Hollis-L,0,2006,2006-10-09,54.01310679611644,43.626407766990354,106.2621359223301,53.43810679611641,3,3,3,1,1
Milford-L,7,2006,2006-10-09,54.01310679611644,43.626407766990354,106.2621359223301,53.43810679611641,3,3,3,4,5
Hollis-B,3,2006,2006-10-09,54.01310679611644,43.626407766990354,106.2621359223301,53.43810679611641,3,3,3,3,3
Hollis-K,1,2006,2006-10-09,54.01310679611644,43.626407766990354,106.2621359223301,53.43810679611641,3,3,3,1,1
Milford-S,1,2006,2006-10-09,54.01310679611644,43.626407766990354,106.2621359223301,53.43810679611641,3,3,3,6,5
Antrim-T,0,2006,2006-10-09,54.01310679611644,43.626407766990354,106.2621359223301,53.43810679611641,3,3,3,0,0
Mason-B,0,2006,2006-10-09,54.01310679611644,43.626407766990354,106.2621359223301,53.43810679611641,3,3,3,1,2
Jaffrey-C,5,2006,2006-10-09,54.01310679611644,43.626407766990354,106.2621359223301,53.43810679611641,3,3,3,1,1
Merrimack-T,0,2007,2007-07-09,66.42849420849419,61.41490347490355,88.8030888030888,66.62405405405403,1,1,1,0,0
Litchfield-M,0,2007,2007-07-09,66.42849420849419,61.41490347490355,88.8030888030888,66.62405405405403,1,1,1,0,0
Litchfield-W,0,2007,2007-07-09,66.42849420849419,61.41490347490355,88.8030888030888,66.62405405405403,1,1,1,6,3
Pelham-G,0,2007,2007-07-09,66.42849420849419,61.41490347490355,88.8030888030888,66.62405405405403,1,1,1,0,0
Milford-S,0,2007,2007-07-09,66.42849420849419,61.41490347490355,88.8030888030888,66.62405405405403,1,1,1,2,2
Hollis-K,0,2007,2007-07-09,66.42849420849419,61.41490347490355,88.8030888030888,66.62405405405403,1,1,1,0,0
Hollis-B,0,2007,2007-07-09,66.42849420849419,61.41490347490355,88.8030888030888,66.62405405405403,1,1,1,1,1
Hollis-JL,0,2007,2007-07-09,66.42849420849419,61.41490347490355,88.8030888030888,66.62405405405403,1,1,1,1,1
Hollis-L,0,2007,2007-07-09,66.42849420849419,61.41490347490355,88.8030888030888,66.62405405405403,1,1,1,1,1
Antrim-T,0,2007,2007-07-09,66.42849420849419,61.41490347490355,88.8030888030888,66.62405405405403,1,1,1,0,0
Jaffrey-C,0,2007,2007-07-09,66.42849420849419,61.41490347490355,88.8030888030888,66.62405405405403,1,1,1,0,0
Mason-B,0,2007,2007-07-09,66.42849420849419,61.41490347490355,88.8030888030888,66.62405405405403,1,1,1,2,1
Merrimack-T,0,2007,2007-07-16,67.7572173913043,60.90156521739137,118.95652173913044,67.76373913043476,2,1,1,0,0
Litchfield-M,0,2007,2007-07-16,67.7572173913043,60.90156521739137,118.95652173913044,67.76373913043476,2,1,1,1,1
Litchfield-W,0,2007,2007-07-16,67.7572173913043,60.90156521739137,118.95652173913044,67.76373913043476,2,1,1,7,5
Pelham-G,0,2007,2007-07-16,67.7572173913043,60.90156521739137,118.95652173913044,67.76373913043476,2,1,1,0,0
Milford-S,0,2007,2007-07-16,67.7572173913043,60.90156521739137,118.95652173913044,67.76373913043476,2,1,1,2,2
Hollis-K,0,2007,2007-07-16,67.7572173913043,60.90156521739137,118.95652173913044,67.76373913043476,2,1,1,1,1
Hollis-B,0,2007,2007-07-16,67.7572173913043,60.90156521739137,118.95652173913044,67.76373913043476,2,1,1,1,1
Hollis-JL,0,2007,2007-07-16,67.7572173913043,60.90156521739137,118.95652173913044,67.76373913043476,2,1,1,0,0
Hollis-L,0,2007,2007-07-16,67.7572173913043,60.90156521739137,118.95652173913044,67.76373913043476,2,1,1,1,1
Antrim-T,0,2007,2007-07-16,67.7572173913043,60.90156521739137,118.95652173913044,67.76373913043476,2,1,1,0,0
Jaffrey-C,0,2007,2007-07-16,67.7572173913043,60.90156521739137,118.95652173913044,67.76373913043476,2,1,1,1,1
Mason-B,0,2007,2007-07-16,67.7572173913043,60.90156521739137,118.95652173913044,67.76373913043476,2,1,1,1,1
Merrimack-T,0,2007,2007-07-23,71.21455319148937,64.77897872340426,58.97872340425532,71.80838297872346,1,1,1,0,0
Litchfield-M,0,2007,2007-07-23,71.21455319148937,64.77897872340426,58.97872340425532,71.80838297872346,1,1,1,1,1
Litchfield-W,1,2007,2007-07-23,71.21455319148937,64.77897872340426,58.97872340425532,71.80838297872346,1,1,1,9,4
Hudson-S,0,2007,2007-07-23,71.21455319148937,64.77897872340426,58.97872340425532,71.80838297872346,1,1,1,0,0
Pelham-G,0,2007,2007-07-23,71.21455319148937,64.77897872340426,58.97872340425532,71.80838297872346,1,1,1,0,0
Milford-S,0,2007,2007-07-23,71.21455319148937,64.77897872340426,58.97872340425532,71.80838297872346,1,1,1,4,4
Milford-L,0,2007,2007-07-23,71.21455319148937,64.77897872340426,58.97872340425532,71.80838297872346,1,1,1,2,2
Hollis-K,0,2007,2007-07-23,71.21455319148937,64.77897872340426,58.97872340425532,71.80838297872346,1,1,1,0,0
Hollis-B,0,2007,2007-07-23,71.21455319148937,64.77897872340426,58.97872340425532,71.80838297872346,1,1,1,1,0
Hollis-JL,0,2007,2007-07-23,71.21455319148937,64.77897872340426,58.97872340425532,71.80838297872346,1,1,1,2,2
Hollis-L,0,2007,2007-07-23,71.21455319148937,64.77897872340426,58.97872340425532,71.80838297872346,1,1,1,0,0
Antrim-T,0,2007,2007-07-23,71.21455319148937,64.77897872340426,58.97872340425532,71.80838297872346,1,1,1,0,0
Jaffrey-C,0,2007,2007-07-23,71.21455319148937,64.77897872340426,58.97872340425532,71.80838297872346,1,1,1,0,0
Mason-B,0,2007,2007-07-23,71.21455319148937,64.77897872340426,58.97872340425532,71.80838297872346,1,1,1,2,2
Merrimack-T,0,2007,2007-07-30,74.3609708737864,64.75805825242713,88.68932038834951,75.19344660194174,2,2,2,0,0
